| ticks:2613 | x-axis=-40 | y-axis=-1 | z-axis=-276 |
| ticks:2624 | x-axis=-40 | y-axis=-1 | z-axis=-276 |
| ticks:2635 | x-axis=-40 | y-axis=-1 | z-axis=-276 |
| ticks:2646 | x-axis=-40 | y-axis=-1 | z-axis=-276 |
| ticks:2657 | x-axis=-40 | y-axis=-1 | z-axis=-276 |
| ticks:2682 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2694 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2710 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2721 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2735 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2749 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2760 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2771 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2782 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2793 | x-axis=-40 | y-axis=-1 | z-axis=-266 |
| ticks:2817 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2829 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2847 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2858 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2869 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2880 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2891 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2902 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2913 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2924 | x-axis=-41 | y-axis=1 | z-axis=-276 |
| ticks:2949 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:2961 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:2977 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:2988 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:2999 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:3010 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:3021 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:3032 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:3043 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:3054 | x-axis=-42 | y-axis=1 | z-axis=-273 |
| ticks:3079 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3097 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3108 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3119 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3130 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3141 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3152 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3164 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3175 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3186 | x-axis=-43 | y-axis=0 | z-axis=-272 |
| ticks:3210 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3227 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3238 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3249 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3259 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3270 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3281 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3293 | x-axis=-43 | y-axis=0 | z-axis=-274 |
| ticks:3304 | x-axis=-43 | y-axis=0 | z-axis=-274 |
