| ticks:15 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:46 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:56 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:67 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:78 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:88 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:99 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:110 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:121 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:131 | x-axis=101 | y-axis=166 | z-axis=118 |
| ticks:155 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:166 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:177 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:188 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:202 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:217 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:228 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:239 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:250 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:261 | x-axis=-17 | y-axis=17 | z-axis=-276 |
| ticks:287 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:298 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:309 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:320 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:331 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:342 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:353 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:364 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:375 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:386 | x-axis=-16 | y-axis=14 | z-axis=-276 |
| ticks:413 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:424 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:435 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:446 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:457 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:468 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:479 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:490 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:501 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:518 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:540 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:551 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:562 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:573 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:583 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:595 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:605 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:616 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:627 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:643 | x-axis=-20 | y-axis=20 | z-axis=-277 |
| ticks:665 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:676 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:687 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:698 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:709 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:720 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:731 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:742 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:753 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:770 | x-axis=-18 | y-axis=22 | z-axis=-275 |
| ticks:791 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:802 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:813 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:824 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:835 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:846 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:857 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:868 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:884 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:895 | x-axis=-20 | y-axis=20 | z-axis=-273 |
| ticks:916 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:927 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:938 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:949 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:960 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:974 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:988 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:999 | x-axis=-13 | y-axis=21 | z-axis=-273 |
| ticks:1016 | x-axis=-13 | y-axis=21 | z-axis=-273 |
