| ticks:16 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:45 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:56 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:66 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:77 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:88 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:98 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:109 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:120 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:130 | x-axis=97 | y-axis=180 | z-axis=295 |
| ticks:156 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:167 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:178 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:195 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:236 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:247 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:258 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:270 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:281 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:292 | x-axis=-98 | y-axis=-124 | z-axis=-166 |
| ticks:315 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:326 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:338 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:349 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:360 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:371 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:382 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:393 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:404 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:420 | x-axis=-236 | y-axis=114 | z-axis=-127 |
| ticks:454 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:465 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:476 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:488 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:499 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:510 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:521 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:532 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:550 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:561 | x-axis=124 | y-axis=-196 | z-axis=-212 |
| ticks:582 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:593 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:604 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:615 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:627 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:638 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:649 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:672 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:688 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:699 | x-axis=-16 | y-axis=137 | z-axis=-180 |
| ticks:719 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:730 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:742 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:753 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:764 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:775 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:786 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:804 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:815 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:826 | x-axis=-80 | y-axis=239 | z-axis=-250 |
| ticks:847 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:858 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:869 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:893 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:904 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:915 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:926 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:942 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:956 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:971 | x-axis=-4 | y-axis=105 | z-axis=-193 |
| ticks:990 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1001 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1012 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1024 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1035 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1046 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1057 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1068 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1079 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1091 | x-axis=80 | y-axis=-155 | z-axis=-73 |
| ticks:1126 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1137 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1148 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1403 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1607 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1618 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1635 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1647 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1867 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1878 | x-axis=53 | y-axis=141 | z-axis=-210 |
| ticks:1890 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1902 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1913 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1924 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1935 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1952 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1963 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1974 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1985 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:1996 | x-axis=156 | y-axis=-39 | z-axis=-200 |
| ticks:2009 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2020 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2031 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2042 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2053 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2083 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2094 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2105 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2116 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2128 | x-axis=115 | y-axis=-176 | z-axis=241 |
| ticks:2476 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2488 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2499 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2510 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2715 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2794 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2805 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2816 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2827 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2838 | x-axis=-134 | y-axis=326 | z-axis=84 |
| ticks:2863 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:2874 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:2885 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3024 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3166 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3184 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3195 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3206 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3217 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3228 | x-axis=-15 | y-axis=259 | z-axis=-232 |
| ticks:3497 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3509 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3520 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3537 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3549 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3560 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3571 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3582 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3595 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3734 | x-axis=-212 | y-axis=259 | z-axis=165 |
| ticks:3917 | x-axis=222 | y-axis=-299 | z-axis=-168 |
| ticks:3928 | x-axis=222 | y-axis=-299 | z-axis=-168 |
